household_id,button_id,concept,num_modeling_events,num_spont_button_press
1364,21398,TREAT-ALL,95,276
1364,21399,SCRITCHES,53,34
1364,23057,OTHER,8,3
1364,24791,OUTDOOR LOCATION-PORCH,33,6
1364,25832,PLACE-SOMEONE ELSE'S HOUSE,3,0
1435,22237,TOY-STUFFED ANIMAL,29,61
1435,22238,TOY-BALL,9,59
1435,22239,TOY-STUFFED ANIMAL,32,67
1435,22240,PERSON-PARENT,6,11
1435,22241,PERSON-SIBLING,8,13
1435,22242,ANIMAL-CAT,12,10
1435,22243,COME,6,10
1435,22244,WANT,47,20
1435,22245,WATER,10,19
1435,22246,ALL DONE,26,4
1435,22247,OWN NAME,43,17
1435,22248,OTHER,53,17
1435,22249,TOY-OTHER,30,21
1435,22522,PERSON-PARENT,2,2
1540,5606,ALL DONE,10,59
1540,5607,TOY-BALL,1,51
1540,5608,COME,7,140
1540,5609,PERSON-PARENT,3,28
1540,5610,FOOD,3,300
1540,5611,OWN NAME,9,39
1540,5612,ANIMAL-DOG,3,44
1540,5613,LOOK,2,100
1540,5614,PERSON-PARENT,17,24
1540,5615,NO,3,65
1540,5617,GO OUTSIDE,15,253
1540,5618,PLAY-ALL,10,86
1540,5619,POTTY,1,443
1540,5621,YES,18,104
1540,11357,HAPPY,2,50
1540,11358,HELP,2,141
1540,11361,LATER,6,65
1540,11364,LOVE YOU,2,12
1540,11367,NOW,32,50
1540,11370,PERSON-SIBLING,2,64
1540,11374,TREAT-ICE,12,359
1540,16323,BEGIN TRAINING SESSION,10,152
1540,16429,MORE,6,33
1540,16539,GO INSIDE,5,58
1540,16568,HI,4,24
1540,16569,BYE,5,103
1540,16789,TOY-PUZZLE,6,106
1540,21238,FOOD,18,48
1540,22525,TOY-OTHER,2,46
1540,24179,OTHER,3,4
1633,19741,ALL DONE,123,16
1633,19742,PEE,123,57
1633,19743,WALK,93,27
1633,19744,TOY-OTHER,109,39
1633,19745,PLAY-ALL,192,39
1633,19746,TOY-BALL,121,43
1633,19778,WATER,59,41
1652,11515,POTTY,278,6
1652,17186,WALK,73,5
1652,17278,TREAT-ALL,395,52
1652,19772,TOY-PUZZLE,97,38
1652,19773,MORE,157,26
1652,19774,HELP,18,33
1652,19775,ALL DONE,151,29
1652,21327,CUDDLE,34,11
1652,21328,TOY-STUFFED ANIMAL,2,0
1652,21380,PLAY-ALL,8,10
1652,21574,OTHER,5,6
1652,21575,FOOD,21,9
1652,22378,OTHER,2,1
1652,22379,PERSON-OTHER,1,3
1652,22380,LOVE YOU,3,2
1652,NA,NA,1,1
1656,21864,HELP,17,52
1656,21865,PERSON-PARENT,45,40
1656,21866,SETTLE,13,55
1656,21867,TOY-BALL,34,48
1656,21869,PERSON-PARENT,17,19
1656,21870,PLAY-ALL,60,90
1656,21871,OWN NAME,133,84
1656,21872,ANIMAL-CAT,12,18
1656,21873,OTHER,9,46
1656,21875,FOOD,17,73
1656,21876,OTHER,23,41
1656,21877,WANT,75,110
1656,21878,ALL DONE,37,21
1656,21879,TREAT-ALL,26,113
1656,21880,OTHER,24,37
1656,21881,OTHER,74,43
1656,21882,LATER,39,30
1656,21883,SCRITCHES,11,71
1656,21884,OTHER,8,68
1656,21885,WATER,3,41
1656,21886,NO,8,24
1656,21887,OUTDOOR LOCATION-OTHER,25,25
